algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,ablation,training_rule_control,training_rules,algorithm_key,algorithm_display,delta_balanced_accuracy_vs_all,delta_recall_sensitivity_vs_all,delta_specificity_vs_all,delta_roc_auc_vs_all,delta_average_precision_vs_all,delta_patient_violation_rate_vs_all,delta_soft_rule_violation_vs_all
xgboost:leave_out_LR05,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0133189344852411,37,0.0133189344852411,188,188.0,0.3330544913528812,0.3330544913528812,0.3212552293471493,178,0.0440911660686039,0.1968085106382978,6.0,5.0,15.0,11.0,,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,,leave_out_LR05,none,"LR01,LR02,LR03,LR04",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,-0.0057595392368610995,-0.1858815530594024
xgboost:control_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0547156227501799,161,0.0579553635709143,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.3510298703741485,0.2519561815336463,6.0,5.0,15.0,11.0,124.0,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,0.6559312878666724,control_permuted,permuted,"LR01,LR02,LR03,LR04,LR05",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,0.0356371490280777,0.06678027787359919
xgboost:control_column_permuted,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0547156227501799,161,0.0579553635709143,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.3510298703741485,0.2519561815336463,6.0,5.0,15.0,11.0,124.0,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,0.6559312878666724,control_column_permuted,column_permuted,"LR01,LR02,LR03,LR04,LR05",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,0.0356371490280777,0.06678027787359919
xgboost:control_reversed,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.7915766738660908,0.7281239037063023,0.3695652173913043,0.6390977443609023,0.8171500630517023,0.4683195592286501,0.3278361330078786,0.0977664013101556,1944,435,144,255,0.176466839134463,0.8027730107108881,0.4682172562859919,0.0936264350944857,1.0510456494183482,0.0547156227501799,161,0.0579553635709143,639,864.5,0.5857163222858828,0.5609378015684053,0.5647211176343592,566,0.3510298703741485,0.2519561815336463,6.0,5.0,15.0,11.0,124.0,0.7922094266636119,0.0758732921099129,0.6427528416533685,0.7219705071322714,0.6559312878666724,control_reversed,reversed,"LR01,LR02,LR03,LR04,LR05",xgboost,XGBoost,-0.00465223588605812,-0.057644110275689164,0.048339638503572924,-0.000926549244064323,0.0013826117719199504,0.0356371490280777,0.06678027787359919
lightgbm:all_rules,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7419006479481641,0.7210222909101252,0.3172413793103448,0.6917293233082706,0.7503152585119798,0.4349881796690307,0.3292399450303464,0.0980506446943396,1785,594,123,276,0.1620460991482594,0.8017769307674398,0.4696461188604691,-0.1550681316042645,0.9796971681275825,0.0176385889128869,49,0.0176385889128869,639,864.5,0.5172276318233672,0.4970385112665947,0.5001659426740935,566,0.2670209372884653,0.0766823161189358,5.0,21.0,5.0,6.0,12.0,0.701541553379624,0.1024667626699693,0.5455467553249469,0.6648179079860408,0.5744376009398982,all_rules,none,"LR01,LR02,LR03,LR04,LR05",lightgbm,LightGBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm:single_LR01,0.5,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7217950298191886,0.3481781376518219,0.6466165413533834,0.7969735182849937,0.4526315789473684,0.329665493330854,0.0982371315584318,1896,483,141,258,0.1620460991482594,0.7995882939800111,0.4670815526255684,0.0808320314805529,1.0530584082362782,0.0,0,0.0,10,10.0,0.5983767357453408,0.5983767357453408,0.5983767357453406,10,0.0035889149517546,0.0,0.0,,,,,0.5983767357453406,,,,,single_LR01,none,LR01,lightgbm,LightGBM,0.0007727389090634862,-0.045112781954887216,0.046658259773013966,-0.002188636787428755,-0.0025645662349007003,-0.0176385889128869,0.08114910392197361
lightgbm:single_LR02,0.75,test,baseline_common_threshold,lambda_0_validation,2778,0.7778977681785457,0.7222232757176674,0.3510928961748634,0.6441102756892231,0.8003362757461118,0.4544650751547303,0.3294735724201424,0.0978179100790139,1904,475,142,257,0.1620460991482594,0.7974539122080107,0.4732857320273896,0.099137990804141,1.0475557864503444,0.0007199424046076,2,0.0007199424046076,108,108.0,0.0520412840059694,0.0520412840059694,0.0520412840059694,108,0.0021016454335774,0.0185185185185185,,2.0,,,,,0.0520412840059694,,,,single_LR02,none,LR02,lightgbm,LightGBM,0.0012009848075422713,-0.04761904761904756,0.05002101723413199,-0.0043230185594291815,0.003639613166920519,-0.016918646508279303,-0.46518634781739776
lightgbm:single_LR03,0.0,test,baseline_common_threshold,lambda_0_validation,2778,0.775377969762419,0.7186661483469077,0.3469387755102041,0.6390977443609023,0.798234552332913,0.4497354497354497,0.329078278187055,0.097942081247911,1899,480,144,255,0.1620460991482594,0.7996451827340524,0.4719453791349321,0.0917592755432159,1.0539845533676393,0.0043196544276457,12,0.0043196544276457,51,51.0,0.6427075558106076,0.6427075558106076,0.6427075558106076,51,0.0224358966711892,0.2352941176470588,,,12.0,,,,,0.6427075558106076,,,single_LR03,none,LR03,lightgbm,LightGBM,-0.002356142563217478,-0.05263157894736836,0.047919293820933184,-0.0021317480333874483,0.002299260274463033,-0.013318934485241202,0.1254799239872404
lightgbm:single_LR04,0.25,test,baseline_common_threshold,lambda_0_validation,2778,0.7778977681785457,0.7243091966991881,0.3519021739130434,0.6491228070175439,0.7994955863808323,0.4563876651982378,0.3280936934702707,0.0977811397486913,1902,477,140,259,0.1620460991482594,0.8020597942944794,0.4711703820149344,0.0731465166002405,1.042389798655739,0.0,0,0.0,19,19.0,0.5806798035717131,0.5806798035717131,0.5806798035717131,19,0.0067557267475296,0.0,,,,0.0,,,,,0.5806798035717131,,single_LR04,none,LR04,lightgbm,LightGBM,0.0032869057890629882,-0.04260651629072676,0.049180327868852514,0.0002828635270395452,0.0015242631544652996,-0.0176385889128869,0.06345217174834594
lightgbm:single_LR05,0.1,test,baseline_common_threshold,lambda_0_validation,2778,0.7455003599712023,0.7293817772678859,0.323394495412844,0.706766917293233,0.7519966372425388,0.4437450826121164,0.3273198770664806,0.0973148586724007,1789,590,117,282,0.1620460991482594,0.804264760261309,0.4823877964363933,-0.1459842561716728,0.9702539818011152,0.0035997120230381,10,0.0035997120230381,451,676.5,0.5760988572264677,0.5760988572264677,0.5760988572264677,451,0.2324171286039735,0.0221729490022172,,,,,10.0,,,,,0.5760988572264677,single_LR05,none,LR05,lightgbm,LightGBM,0.008359486357760737,0.015037593984962405,0.0016813787305590688,0.0024878294938691647,0.012741677575924204,-0.014038876889848801,0.058871225403100524
