algorithm_key,algorithm,penalty_multiplier,split,evaluation_mode,threshold_selected_on,n_patients,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier_score,tn,fp,fn,tp,threshold,roc_auc,average_precision,calibration_intercept,calibration_slope,patient_violation_rate,total_rule_patient_violations,violations_per_patient,active_rule_count,active_rule_weight,soft_rule_violation,unweighted_soft_rule_violation,mean_patient_soft_rule_violation,patients_with_active_rules,rule_bce_per_patient,active_rule_violation_rate,violation_LR01_neg,violation_LR02_pos,violation_LR03_neg,violation_LR04_neg,violation_LR05_neg,soft_violation_LR01,soft_violation_LR02,soft_violation_LR03,soft_violation_LR04,soft_violation_LR05,violation_reduction_fraction,soft_violation_reduction_fraction,passes_balanced_accuracy,passes_auc,passes_average_precision,passes_violation_reduction,passes_soft_violation_reduction,is_penalized,eligible,selected,best_validation_balanced_accuracy,baseline_validation_roc_auc,baseline_validation_average_precision,baseline_validation_patient_violation_rate,baseline_validation_soft_rule_violation,balanced_accuracy_tolerance,auc_tolerance,average_precision_tolerance,minimum_violation_reduction,minimum_soft_violation_reduction,selection_reason,selection_evaluation_mode,baseline_common_threshold
lightgbm,LightGBM,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.7181425485961123,0.7217523632536574,0.3008298755186722,0.7268170426065163,0.7166876839007986,0.425531914893617,0.35845414518180846,0.11083510073493583,1705,674,109,290,0.1620460991482594,0.7815519252102513,0.3957719403581861,-0.6236476308624972,0.7791299337162709,0.01655867530597552,46,0.01655867530597552,722,972.0,0.42974287007026074,0.4147868496092746,0.41391997104692135,629,0.21730282504248538,0.06371191135734072,6,37,1,2,0,0.7521800878661213,0.1342917924701329,0.43766832089302793,0.5593435780345014,0.4729358571615885,0.6134453781512605,0.248267285017744,False,True,True,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7102231821454283,0.7181715322353803,0.29453441295546556,0.7293233082706767,0.7070197562000841,0.41961067051189616,0.3789783090682988,0.12027485098082806,1682,697,108,291,0.1620460991482594,0.7777493334007569,0.3846870929416893,-0.8479557632261636,0.6781528465568691,0.014038876889848811,39,0.014038876889848811,722,972.0,0.3496565430155844,0.34046659897121506,0.3359758948168239,629,0.16171332383254805,0.054016620498614956,1,38,0,0,0,0.6826510554155102,0.15577966862016054,0.34467365093481783,0.4806236171644173,0.3761971014157231,0.6722689075630253,0.38835922432071784,False,False,True,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,0.75,validation,baseline_common_threshold,lambda_0_validation,2778,0.7120230381569475,0.7202653544327401,0.29644670050761424,0.731829573934837,0.7087011349306431,0.42196531791907516,0.39907107931776714,0.1287940020358838,1686,693,107,292,0.1620460991482594,0.7739578032934374,0.3759610712828837,-0.9875008270153433,0.6062070238495605,0.013678905687544997,38,0.013678905687544997,722,972.0,0.29453851549074805,0.28869911537067383,0.28129667586296453,629,0.12996129696513536,0.05263157894736842,0,38,0,0,0,0.5990329756325387,0.16357497633839918,0.2799314535942772,0.4273216123795454,0.31140270303752243,0.6806722689075629,0.4847750751967026,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,1.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7123830093592513,0.7225614477555806,0.2975708502024291,0.7368421052631579,0.7082807902480034,0.4239365537130497,0.416125436834405,0.13557882696562848,1685,694,105,294,0.1620460991482594,0.7719846063245545,0.3733106549417781,-1.0734527586162055,0.5621574200851501,0.013678905687544997,38,0.013678905687544997,722,972.0,0.25797483143163974,0.25441189245548107,0.24453808376539954,629,0.1109848203734154,0.05263157894736842,0,38,0,0,0,0.5597297919182685,0.16659141748711992,0.24286297305901028,0.3806812366095471,0.26826459919478585,0.6806722689075629,0.5487345249090692,True,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,1.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.7105831533477321,0.7183817045767003,0.2948328267477204,0.7293233082706767,0.7074401008827238,0.4199134199134199,0.4436415427670358,0.14561539851113767,1683,696,108,291,0.1620460991482594,0.7720499230421577,0.367753076425996,-1.1805986785837261,0.5090780237043642,0.013678905687544997,38,0.013678905687544997,722,972.0,0.21081394602307152,0.21014823506357605,0.19709800383272919,629,0.08841650296404377,0.05263157894736842,0,38,0,0,0,0.49204689469132445,0.17260729680977532,0.19129297600289055,0.32546434905257027,0.2127365192740944,0.6806722689075629,0.6312312523669413,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
lightgbm,LightGBM,2.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.7095032397408207,0.71566526657122,0.29310344827586204,0.7243107769423559,0.7070197562000841,0.41732851985559566,0.46429021212428995,0.15227719759353228,1682,697,110,289,0.1620460991482594,0.7708294485688791,0.366773412426581,-1.2516619015950783,0.4834728571992889,0.013678905687544997,38,0.013678905687544997,722,972.0,0.18440734256162516,0.18581434477443212,0.17048759028963123,629,0.07648069137174217,0.05263157894736842,0,38,0,0,0,0.452361756966244,0.1804171765406855,0.16985559304107736,0.28968769493278035,0.18034392017103876,0.6806722689075629,0.6774233106791302,False,False,False,True,True,True,False,False,0.7319196477954028,0.7898776997137652,0.40453878836719104,0.04283657307415407,0.5716697723876557,0.01,0.01,0.02,0.4,0.0,"Selected the smallest penalized lambda satisfying balanced-accuracy, ROC-AUC, average-precision, and violation-reduction constraints.",baseline_common_threshold,0.1620460991482594
logistic,Logistic Regression,0.0,validation,baseline_common_threshold,lambda_0_validation,2778,0.6133909287257019,0.7064824735230257,0.2486969471332837,0.8370927318295739,0.5758722152164775,0.38346727898966704,0.395825257538041,0.11894896582947341,1370,1009,65,334,0.14075511803503238,0.7593610971522965,0.3346097344662093,8.177543611673554,5.715480851711968,0.02663786897048236,74,0.02663786897048236,722,972.0,0.7329592237115047,0.7009287229375568,0.7086454504132013,629,0.537264471890194,0.10249307479224377,7,51,0,15,1,0.8570532092542398,0.13614523400534911,0.7996402922478146,0.8957438651156685,0.8254633099466664,0.0,0.0,True,True,True,False,True,False,False,True,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7329592237115047,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic,Logistic Regression,0.1,validation,baseline_common_threshold,lambda_0_validation,2778,0.2843772498200144,0.5623611361316279,0.16177096636866753,0.9523809523809523,0.1723413198823035,0.2765647743813683,0.39391673093260704,0.11789580279756008,410,1969,19,380,0.14075511803503238,0.7570960819450897,0.3310574526076553,5.022171911153748,4.346200382680233,0.038876889848812095,108,0.038876889848812095,722,972.0,0.7039355237377478,0.6746077342870175,0.6823425894635355,629,0.4811548629228246,0.14958448753462603,1,92,0,15,0,0.8342499205633225,0.15966357596143393,0.7494375377381061,0.8902535218400156,0.7886341796714569,-0.45945945945945954,0.03959797357728688,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7329592237115047,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic,Logistic Regression,0.25,validation,baseline_common_threshold,lambda_0_validation,2778,0.1673866090712743,0.5076136115825504,0.14555555555555555,0.9849624060150376,0.03026481715006305,0.2536302032913843,0.3968694897971352,0.11808419060879877,72,2307,6,393,0.14075511803503238,0.7553820448557289,0.3287666317062826,2.761558556441347,3.343743214965789,0.0482361411087113,134,0.0482361411087113,722,972.0,0.6638976698178342,0.638209517148797,0.6460170290890531,629,0.41884200531012283,0.18559556786703602,0,119,0,15,0,0.8042689274744447,0.19060926300855646,0.6795715252442864,0.8844573972647043,0.7380850547260135,-0.8108108108108109,0.09422291398962379,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7329592237115047,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
logistic,Logistic Regression,0.5,validation,baseline_common_threshold,lambda_0_validation,2778,0.14794816414686826,0.4962643051512767,0.14270152505446623,0.9849624060150376,0.007566204287515763,0.24928639391056137,0.4091013048757534,0.1215073147988939,18,2361,6,393,0.14075511803503238,0.7542600722065779,0.32705633341660456,1.086809658477587,2.5868608147977556,0.04895608351331893,136,0.04895608351331893,722,972.0,0.6072463112464292,0.5866217626843107,0.5944503638100358,629,0.3496489634321275,0.1883656509695291,0,124,0,12,0,0.763770340032938,0.23199534760578616,0.5818382628428862,0.8782476422942281,0.6668100074938277,-0.8378378378378379,0.17151419669500806,False,True,True,False,True,True,False,False,0.7064824735230257,0.7593610971522965,0.3346097344662093,0.02663786897048236,0.7329592237115047,0.01,0.01,0.02,0.4,0.0,No penalized lambda satisfied all validation constraints; the unpenalized baseline was retained.,baseline_common_threshold,0.14075511803503238
